country_or_area,year,value,category
Hungary,2011,106.917986583972,sulphur_hexafluoride_sf6_emissions_in_kilotonne_co2_equivalent
Japan,2014,1265490.60931631,carbon_dioxide_co2_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Finland,2008,26.658888399588,sulphur_hexafluoride_sf6_emissions_in_kilotonne_co2_equivalent
Iceland,2002,2795.90731167373,carbon_dioxide_co2_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Germany,2009,2923.979076096,sulphur_hexafluoride_sf6_emissions_in_kilotonne_co2_equivalent
Portugal,2006,3832.74846782682,nitrous_oxide_n2o_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Canada,2001,3787.72934805573,hydrofluorocarbons_hfcs_emissions_in_kilotonne_co2_equivalent
European Union,1993,686376.82193796,methane_ch4_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Croatia,2012,2216.92191738725,nitrous_oxide_n2o_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Norway,1996,54411.0952561063,greenhouse_gas_ghgs_emissions_including_indirect_co2_without_lulucf_in_kilotonne_co2_equivalent
Slovenia,2008,17.541652484172,sulphur_hexafluoride_sf6_emissions_in_kilotonne_co2_equivalent
Turkey,1997,593.325999624901,perfluorocarbons_pfcs_emissions_in_kilotonne_co2_equivalent
Russian Federation,1996,2354767.26191203,greenhouse_gas_ghgs_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
European Union,1995,668698.051516691,methane_ch4_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Poland,2004,22060.3628108664,nitrous_oxide_n2o_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Slovakia,2003,15.0554556,sulphur_hexafluoride_sf6_emissions_in_kilotonne_co2_equivalent
Ukraine,2010,27932.3022117132,nitrous_oxide_n2o_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Japan,1996,44503.1722518203,methane_ch4_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
United Kingdom,1999,553827.549146135,carbon_dioxide_co2_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
United States of America,1994,28004.2473506574,sulphur_hexafluoride_sf6_emissions_in_kilotonne_co2_equivalent
New Zealand,1991,66822.617722031,greenhouse_gas_ghgs_emissions_including_indirect_co2_without_lulucf_in_kilotonne_co2_equivalent
Switzerland,2007,5296.65119681511,methane_ch4_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Latvia,1994,1623.45224040938,nitrous_oxide_n2o_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Belgium,2012,110.428737472536,sulphur_hexafluoride_sf6_emissions_in_kilotonne_co2_equivalent
Slovenia,2010,2187.90236287205,methane_ch4_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Bulgaria,2007,55184.4241047849,carbon_dioxide_co2_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Lithuania,1997,22971.1068622477,greenhouse_gas_ghgs_emissions_including_indirect_co2_without_lulucf_in_kilotonne_co2_equivalent
Greece,1998,13077.547365796,methane_ch4_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Latvia,2005,7790.40393195636,carbon_dioxide_co2_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Greece,2009,5325.95590579888,nitrous_oxide_n2o_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Estonia,2007,170.367740074701,hydrofluorocarbons_hfcs_emissions_in_kilotonne_co2_equivalent
Lithuania,2004,13185.4933655222,carbon_dioxide_co2_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Czech Republic,2004,148765.437576363,greenhouse_gas_ghgs_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
European Union,2005,911.0179272,unspecified_mix_of_hydrofluorocarbons_hfcs_and_perfluorocarbons_pfcs_emissions_in_kilotonne_co2_equivalent
Germany,2007,9422.41749132518,hydrofluorocarbons_hfcs_emissions_in_kilotonne_co2_equivalent
Ukraine,2002,417502.686515017,greenhouse_gas_ghgs_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Hungary,1998,93.641844344448,sulphur_hexafluoride_sf6_emissions_in_kilotonne_co2_equivalent
Spain,2004,199.7837003544,sulphur_hexafluoride_sf6_emissions_in_kilotonne_co2_equivalent
Italy,1998,454967.633181096,carbon_dioxide_co2_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
United States of America,1998,4470.7293856,unspecified_mix_of_hydrofluorocarbons_hfcs_and_perfluorocarbons_pfcs_emissions_in_kilotonne_co2_equivalent
Austria,2007,230.332465,perfluorocarbons_pfcs_emissions_in_kilotonne_co2_equivalent
Australia,2008,444.516693559401,perfluorocarbons_pfcs_emissions_in_kilotonne_co2_equivalent
Latvia,2005,1929.4467468179,methane_ch4_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Germany,1999,1045419.70899266,greenhouse_gas_ghgs_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
France,2014,464417.795172965,greenhouse_gas_ghgs_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Slovakia,2011,37880.8531455433,carbon_dioxide_co2_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Australia,1995,1530.83566492632,perfluorocarbons_pfcs_emissions_in_kilotonne_co2_equivalent
Ireland,2007,906.281947800536,hydrofluorocarbons_hfcs_emissions_in_kilotonne_co2_equivalent
United Kingdom,1998,1328.71558779265,sulphur_hexafluoride_sf6_emissions_in_kilotonne_co2_equivalent
Hungary,2004,269.426370033108,perfluorocarbons_pfcs_emissions_in_kilotonne_co2_equivalent
Liechtenstein,1998,18.2353000685398,methane_ch4_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Latvia,2001,1.386676848,sulphur_hexafluoride_sf6_emissions_in_kilotonne_co2_equivalent
Poland,2006,193.577431658992,perfluorocarbons_pfcs_emissions_in_kilotonne_co2_equivalent
France,2009,930.018746301348,sulphur_hexafluoride_sf6_emissions_in_kilotonne_co2_equivalent
Portugal,1999,12743.7715374656,methane_ch4_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Greece,1992,84949.0258298748,carbon_dioxide_co2_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Estonia,1996,20631.7526567215,greenhouse_gas_ghgs_emissions_including_indirect_co2_without_lulucf_in_kilotonne_co2_equivalent
Cyprus,2002,8519.08140283278,greenhouse_gas_ghgs_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Bulgaria,1993,57203.9355176784,carbon_dioxide_co2_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Hungary,2013,43930.8781767816,carbon_dioxide_co2_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Canada,2000,4985.56832459483,perfluorocarbons_pfcs_emissions_in_kilotonne_co2_equivalent
Belarus,2004,83688.299567336,greenhouse_gas_ghgs_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Latvia,2007,123.586952647033,hydrofluorocarbons_hfcs_emissions_in_kilotonne_co2_equivalent
Malta,2007,173.255722109399,methane_ch4_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
United States of America,2013,149922.393769351,hydrofluorocarbons_hfcs_emissions_in_kilotonne_co2_equivalent
Monaco,1997,3.14819111472134,nitrous_oxide_n2o_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Czech Republic,2011,14017.0357351339,methane_ch4_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Slovakia,2011,2371.88871523254,nitrous_oxide_n2o_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Turkey,1994,15275.7660552847,nitrous_oxide_n2o_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Ireland,1996,8807.86555931371,nitrous_oxide_n2o_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Liechtenstein,1991,206.146706845605,carbon_dioxide_co2_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Slovenia,2007,210.767517433336,hydrofluorocarbons_hfcs_emissions_in_kilotonne_co2_equivalent
Austria,1997,4286.75869314582,nitrous_oxide_n2o_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Iceland,2001,472.97384561243,nitrous_oxide_n2o_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Russian Federation,2006,1298.46193116,sulphur_hexafluoride_sf6_emissions_in_kilotonne_co2_equivalent
Germany,2006,999043.900402691,greenhouse_gas_ghgs_emissions_including_indirect_co2_without_lulucf_in_kilotonne_co2_equivalent
Latvia,2004,7709.46076182043,carbon_dioxide_co2_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Denmark,2010,62944.0054047267,greenhouse_gas_ghgs_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Austria,1999,8645.17625546572,methane_ch4_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Monaco,1994,106.067732637872,greenhouse_gas_ghgs_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Italy,2000,1388.28830862196,perfluorocarbons_pfcs_emissions_in_kilotonne_co2_equivalent
Denmark,2014,735.435645873786,hydrofluorocarbons_hfcs_emissions_in_kilotonne_co2_equivalent
Turkey,1995,239039.791797548,greenhouse_gas_ghgs_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Croatia,1992,22538.033900319,greenhouse_gas_ghgs_emissions_including_indirect_co2_without_lulucf_in_kilotonne_co2_equivalent
Portugal,1996,11866.5224135865,methane_ch4_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Latvia,1995,12859.1564999065,greenhouse_gas_ghgs_emissions_including_indirect_co2_without_lulucf_in_kilotonne_co2_equivalent
Norway,1991,49586.8891439841,greenhouse_gas_ghgs_emissions_including_indirect_co2_without_lulucf_in_kilotonne_co2_equivalent
Ireland,1991,33508.44202382,carbon_dioxide_co2_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Lithuania,2007,5742.41827130086,nitrous_oxide_n2o_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Romania,1991,0.28668813826203,hydrofluorocarbons_hfcs_emissions_in_kilotonne_co2_equivalent
Slovenia,2007,17272.3791866788,carbon_dioxide_co2_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Belarus,2013,61510.987153813,carbon_dioxide_co2_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Norway,1998,3905.74516569602,nitrous_oxide_n2o_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Australia,2003,1683.98477494731,perfluorocarbons_pfcs_emissions_in_kilotonne_co2_equivalent
Switzerland,2002,2554.43047748213,nitrous_oxide_n2o_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Ireland,1995,35718.7485642434,carbon_dioxide_co2_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
New Zealand,1997,17.4648,sulphur_hexafluoride_sf6_emissions_in_kilotonne_co2_equivalent
Belarus,1997,11732.3670118,nitrous_oxide_n2o_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Russian Federation,2002,2342532.90912542,greenhouse_gas_ghgs_emissions_including_indirect_co2_without_lulucf_in_kilotonne_co2_equivalent
Denmark,1992,58960.3115236108,carbon_dioxide_co2_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Switzerland,1996,20.4190624823769,perfluorocarbons_pfcs_emissions_in_kilotonne_co2_equivalent
Australia,1990,4607.01291909928,perfluorocarbons_pfcs_emissions_in_kilotonne_co2_equivalent
Slovakia,1998,44016.9870017177,carbon_dioxide_co2_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Poland,2002,307535.642199397,carbon_dioxide_co2_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Spain,1992,298659.599566829,greenhouse_gas_ghgs_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Czech Republic,1992,20139.1599524718,methane_ch4_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
European Union,2011,4619894.87374975,greenhouse_gas_ghgs_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Australia,2008,533693.508207377,greenhouse_gas_ghgs_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Japan,2001,1358715.50795218,greenhouse_gas_ghgs_emissions_including_indirect_co2_without_lulucf_in_kilotonne_co2_equivalent
Slovenia,1994,18004.4453928209,greenhouse_gas_ghgs_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Iceland,2014,3272.20823296511,carbon_dioxide_co2_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Cyprus,2001,6969.466175788,carbon_dioxide_co2_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
European Union,1997,103.422374691952,nitrogen_trifluoride_nf3_emissions_in_kilotonne_co2_equivalent
Romania,1995,2.52603566422256,hydrofluorocarbons_hfcs_emissions_in_kilotonne_co2_equivalent
Denmark,2011,43970.7892561051,carbon_dioxide_co2_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Finland,1991,0.238116,perfluorocarbons_pfcs_emissions_in_kilotonne_co2_equivalent
Australia,2005,5002.48272189515,hydrofluorocarbons_hfcs_emissions_in_kilotonne_co2_equivalent
Netherlands,1995,173196.297429017,carbon_dioxide_co2_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
United Kingdom,1997,557608.779401985,carbon_dioxide_co2_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Poland,2002,2420.25701950106,hydrofluorocarbons_hfcs_emissions_in_kilotonne_co2_equivalent
Ireland,2004,68932.6740278551,greenhouse_gas_ghgs_emissions_including_indirect_co2_without_lulucf_in_kilotonne_co2_equivalent
United States of America,1990,6397144.48966891,greenhouse_gas_ghgs_emissions_including_indirect_co2_without_lulucf_in_kilotonne_co2_equivalent
Turkey,2014,467550.376938556,greenhouse_gas_ghgs_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Hungary,2011,7821.16627134829,methane_ch4_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Romania,2010,9.132186,perfluorocarbons_pfcs_emissions_in_kilotonne_co2_equivalent
Belgium,2008,253.103557740221,perfluorocarbons_pfcs_emissions_in_kilotonne_co2_equivalent
Italy,1997,532739.930388069,greenhouse_gas_ghgs_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Belarus,2010,91183.549358156,greenhouse_gas_ghgs_emissions_including_indirect_co2_without_lulucf_in_kilotonne_co2_equivalent
Japan,1996,33269.5652471293,nitrous_oxide_n2o_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Lithuania,2005,1.6985316,sulphur_hexafluoride_sf6_emissions_in_kilotonne_co2_equivalent
Greece,2008,3710.3482172854,hydrofluorocarbons_hfcs_emissions_in_kilotonne_co2_equivalent
Belarus,2006,62229.398882869,carbon_dioxide_co2_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Russian Federation,2013,856648.068476539,methane_ch4_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Italy,2003,578126.368278315,greenhouse_gas_ghgs_emissions_including_indirect_co2_without_lulucf_in_kilotonne_co2_equivalent
Lithuania,2009,19935.9190758773,greenhouse_gas_ghgs_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Monaco,1998,106.485663454616,greenhouse_gas_ghgs_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Ireland,2011,58194.6676181813,greenhouse_gas_ghgs_emissions_including_indirect_co2_without_lulucf_in_kilotonne_co2_equivalent
European Union,2008,89587.3361470989,hydrofluorocarbons_hfcs_emissions_in_kilotonne_co2_equivalent
Netherlands,2000,258.789069149388,sulphur_hexafluoride_sf6_emissions_in_kilotonne_co2_equivalent
Belgium,1993,121156.964954729,carbon_dioxide_co2_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
France,2006,29.756,nitrogen_trifluoride_nf3_emissions_in_kilotonne_co2_equivalent
Switzerland,2003,44587.9802671018,carbon_dioxide_co2_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
France,2013,369985.594525824,carbon_dioxide_co2_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Romania,2007,148708.180463993,greenhouse_gas_ghgs_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Slovenia,2011,16348.2391107374,carbon_dioxide_co2_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Russian Federation,2010,827300.14885215,methane_ch4_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Australia,1997,17201.8907825515,nitrous_oxide_n2o_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Croatia,2008,23715.3843178607,carbon_dioxide_co2_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Malta,1995,2500.68600060887,greenhouse_gas_ghgs_emissions_including_indirect_co2_without_lulucf_in_kilotonne_co2_equivalent
Germany,2013,945150.947996296,greenhouse_gas_ghgs_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Slovakia,1999,51700.4255895351,greenhouse_gas_ghgs_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Luxembourg,2003,37.9345721026588,hydrofluorocarbons_hfcs_emissions_in_kilotonne_co2_equivalent
Ireland,2005,28.38,nitrogen_trifluoride_nf3_emissions_in_kilotonne_co2_equivalent
Luxembourg,2003,10443.3832173203,carbon_dioxide_co2_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Malta,1999,118.218004406639,methane_ch4_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Ukraine,1991,853207.752275926,greenhouse_gas_ghgs_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Denmark,2002,28.013003919633,perfluorocarbons_pfcs_emissions_in_kilotonne_co2_equivalent
Canada,2000,745991.030964409,greenhouse_gas_ghgs_emissions_including_indirect_co2_without_lulucf_in_kilotonne_co2_equivalent
Norway,2009,2650.25392278059,nitrous_oxide_n2o_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Iceland,1992,2172.61936326312,carbon_dioxide_co2_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Poland,1994,443218.560379242,greenhouse_gas_ghgs_emissions_including_indirect_co2_without_lulucf_in_kilotonne_co2_equivalent
Netherlands,2010,153.781007999964,sulphur_hexafluoride_sf6_emissions_in_kilotonne_co2_equivalent
Luxembourg,1990,12853.4512617504,greenhouse_gas_ghgs_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Lithuania,1997,15086.2857611334,carbon_dioxide_co2_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Australia,2013,10034.1276237187,hydrofluorocarbons_hfcs_emissions_in_kilotonne_co2_equivalent
United Kingdom,2010,685.508192657556,sulphur_hexafluoride_sf6_emissions_in_kilotonne_co2_equivalent
Iceland,2012,93.9998354889332,perfluorocarbons_pfcs_emissions_in_kilotonne_co2_equivalent
Iceland,2014,2.215704,sulphur_hexafluoride_sf6_emissions_in_kilotonne_co2_equivalent
Iceland,2009,4855.77230906749,greenhouse_gas_ghgs_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
United States of America,2011,9990.14537554644,sulphur_hexafluoride_sf6_emissions_in_kilotonne_co2_equivalent
Poland,1998,22618.2561376705,nitrous_oxide_n2o_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Russian Federation,1991,2433187.64541119,carbon_dioxide_co2_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Italy,2011,27.782333333256,nitrogen_trifluoride_nf3_emissions_in_kilotonne_co2_equivalent
Belarus,1999,0.088692,sulphur_hexafluoride_sf6_emissions_in_kilotonne_co2_equivalent
Luxembourg,1990,11944.0073852812,carbon_dioxide_co2_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Germany,2014,901763.938802623,greenhouse_gas_ghgs_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Japan,1992,48083.2641854464,methane_ch4_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Hungary,1996,78015.9644529897,greenhouse_gas_ghgs_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Denmark,1998,6789.72994670559,nitrous_oxide_n2o_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Croatia,2014,22898.8781594815,greenhouse_gas_ghgs_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Slovenia,2007,17.790619918896,sulphur_hexafluoride_sf6_emissions_in_kilotonne_co2_equivalent
Poland,2007,336268.110889212,carbon_dioxide_co2_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Iceland,1991,516.622937656656,methane_ch4_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Norway,1997,6202.65308716493,methane_ch4_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Slovenia,2007,20831.8365544054,greenhouse_gas_ghgs_emissions_including_indirect_co2_without_lulucf_in_kilotonne_co2_equivalent
European Union,2002,1872.461234,unspecified_mix_of_hydrofluorocarbons_hfcs_and_perfluorocarbons_pfcs_emissions_in_kilotonne_co2_equivalent
Germany,1995,6467.149524288,sulphur_hexafluoride_sf6_emissions_in_kilotonne_co2_equivalent
Australia,1993,264.759156257172,sulphur_hexafluoride_sf6_emissions_in_kilotonne_co2_equivalent
Norway,1997,3820.34678663926,nitrous_oxide_n2o_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Austria,2001,8284.30053880387,methane_ch4_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Portugal,2000,1.13172870163868,perfluorocarbons_pfcs_emissions_in_kilotonne_co2_equivalent
Australia,2013,19756.4526473437,nitrous_oxide_n2o_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Slovenia,2010,19618.7649294739,greenhouse_gas_ghgs_emissions_including_indirect_co2_without_lulucf_in_kilotonne_co2_equivalent
Spain,2003,18787.9206518089,nitrous_oxide_n2o_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Norway,1990,4200.88799506625,nitrous_oxide_n2o_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Liechtenstein,1993,0.20081994161834,hydrofluorocarbons_hfcs_emissions_in_kilotonne_co2_equivalent
Cyprus,1997,7473.09509160237,greenhouse_gas_ghgs_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Poland,1999,329380.898350257,carbon_dioxide_co2_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Germany,2013,258.2424803299,perfluorocarbons_pfcs_emissions_in_kilotonne_co2_equivalent
Netherlands,2009,19915.9141671014,methane_ch4_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Luxembourg,1991,301.408489735,nitrous_oxide_n2o_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Netherlands,2003,197.478626209896,sulphur_hexafluoride_sf6_emissions_in_kilotonne_co2_equivalent
Finland,1991,69069.9524625108,greenhouse_gas_ghgs_emissions_including_indirect_co2_without_lulucf_in_kilotonne_co2_equivalent
Russian Federation,2004,777315.958937797,methane_ch4_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
France,2006,417662.678913825,carbon_dioxide_co2_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Czech Republic,2004,149733.015180822,greenhouse_gas_ghgs_emissions_including_indirect_co2_without_lulucf_in_kilotonne_co2_equivalent
Croatia,1995,11.1206772,sulphur_hexafluoride_sf6_emissions_in_kilotonne_co2_equivalent
Malta,1998,2524.14374984072,greenhouse_gas_ghgs_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Slovakia,1997,11.4728688,sulphur_hexafluoride_sf6_emissions_in_kilotonne_co2_equivalent
United Kingdom,2014,434794.556933168,carbon_dioxide_co2_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Czech Republic,2002,400.578900547418,hydrofluorocarbons_hfcs_emissions_in_kilotonne_co2_equivalent
Poland,2011,333713.650695256,carbon_dioxide_co2_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Luxembourg,2004,4.28241706116,sulphur_hexafluoride_sf6_emissions_in_kilotonne_co2_equivalent
Cyprus,1990,309.9047424,nitrous_oxide_n2o_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Germany,2013,835792.632256705,carbon_dioxide_co2_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Ireland,2002,69371.2338166882,greenhouse_gas_ghgs_emissions_including_indirect_co2_without_lulucf_in_kilotonne_co2_equivalent
Cyprus,1994,773.1755828925,methane_ch4_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Luxembourg,2014,578.848945492463,methane_ch4_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
New Zealand,2014,9065.96488457113,nitrous_oxide_n2o_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
