id,region,ndvi,yield,year,month,soil_type
1545,North,0.71,4.3,2020,8,sandy_loam
1546,North,0.56,4.1,2023,8,sandy_loam
1547,West,0.73,2.5,2023,4,peat
1548,North,0.75,4.6,2022,7,sandy_loam
1549,West,0.84,2.1,2023,7,clay
1550,South,0.69,2.4,2023,9,clay
1551,West,0.88,4.9,2022,4,clay
1552,West,0.52,4.5,2020,7,peat
1553,West,0.66,2.3,2021,2,peat
1554,North,0.71,3.5,2023,9,clay
1555,East,0.69,3.4,2022,3,peat
1556,South,0.68,4.5,2021,12,peat
1557,East,0.71,3.9,2022,3,sandy_loam
1558,North,0.75,3.1,2020,3,sandy_loam
1559,West,0.7,4.1,2020,8,peat
1560,West,0.87,2.8,2022,2,clay
1561,South,0.61,3.6,2020,5,sandy_loam
1562,North,0.61,2.3,2022,8,clay
1563,North,0.76,2.6,2021,12,sandy_loam
1564,East,0.87,3.8,2021,3,clay
1565,North,0.9,2.3,2022,12,peat
1566,North,0.82,4.1,2021,1,clay
1567,South,0.74,2.9,2020,10,peat
1568,North,0.86,3.8,2023,11,clay
1569,East,0.84,3.7,2023,10,sandy_loam
1570,East,0.77,4.3,2020,9,sandy_loam
1571,East,0.72,4.9,2020,3,sandy_loam
1572,West,0.65,3.3,2022,4,peat
1573,East,0.65,4.7,2020,11,peat
1574,East,0.79,3.3,2023,11,sandy_loam
1575,East,0.52,3.4,2021,10,peat
1576,South,0.72,2.5,2020,9,sandy_loam
1577,East,0.6,3.6,2023,7,sandy_loam
1578,South,0.85,3.7,2020,7,peat
1579,East,0.79,3.5,2020,4,sandy_loam
1580,East,0.76,4.6,2020,12,peat
1581,West,0.7,3.8,2021,4,clay
1582,East,0.9,3.4,2021,12,peat
1583,East,0.73,3.7,2020,1,sandy_loam
1584,West,0.71,4.7,2022,1,sandy_loam
1585,East,0.68,4.4,2021,10,clay
1586,South,0.61,3.1,2021,11,sandy_loam
1587,East,0.89,3.2,2022,9,clay
1588,South,0.76,3.5,2021,10,sandy_loam
1589,East,0.78,2.2,2023,9,peat
1590,West,0.78,2.6,2023,11,peat
1591,West,0.88,3.5,2022,10,sandy_loam
1592,South,0.58,2.9,2021,9,peat
1593,East,0.57,2.2,2021,6,clay
1594,East,0.73,2.2,2022,12,clay
1595,South,0.67,3.7,2023,7,peat
1596,South,0.87,4.0,2023,9,peat
1597,North,0.53,4.6,2020,9,clay
1598,North,0.67,4.2,2022,4,peat
1599,South,0.88,4.9,2021,6,peat
1600,North,0.71,3.5,2022,1,peat
1601,East,0.79,3.5,2020,12,sandy_loam
1602,East,0.72,3.8,2022,10,sandy_loam
1603,South,0.55,4.6,2020,12,peat
1604,East,0.58,3.9,2021,9,peat
1605,South,0.89,3.8,2020,5,sandy_loam
1606,East,0.72,4.2,2020,9,clay
1607,North,0.9,4.9,2021,2,peat
1608,West,0.65,2.8,2022,5,sandy_loam
1609,West,0.51,2.3,2020,8,sandy_loam
1610,East,0.77,3.4,2022,7,sandy_loam
1611,West,0.67,3.9,2023,4,sandy_loam
1612,North,0.6,2.7,2021,8,sandy_loam
1613,North,0.85,4.5,2023,10,clay
1614,North,0.54,2.7,2022,10,clay
1615,North,0.88,5.0,2023,12,sandy_loam
1616,East,0.61,2.0,2023,8,peat
1617,South,0.59,4.1,2022,5,peat
1618,North,0.76,3.5,2023,12,clay
1619,South,0.88,2.2,2020,6,clay
1620,North,0.54,4.8,2022,9,sandy_loam
1621,South,0.66,2.8,2021,9,sandy_loam
1622,South,0.86,4.7,2021,2,clay
1623,North,0.78,2.4,2023,9,sandy_loam
1624,South,0.84,3.3,2021,2,clay
1625,South,0.67,4.7,2023,9,sandy_loam
1626,South,0.79,4.4,2022,1,clay
1627,North,0.67,3.1,2021,11,clay
1628,North,0.81,4.6,2023,10,sandy_loam
1629,West,0.72,4.3,2023,8,peat
1630,North,0.81,3.1,2021,4,peat
1631,West,0.5,4.0,2022,2,sandy_loam
1632,North,0.57,2.5,2022,12,sandy_loam
1633,East,0.74,3.5,2021,1,clay
1634,West,0.85,2.5,2021,12,clay
1635,East,0.77,2.9,2022,2,clay
1636,East,0.82,2.8,2023,8,peat
1637,West,0.88,4.3,2022,9,sandy_loam
1638,East,0.86,3.0,2022,1,sandy_loam
1639,South,0.58,2.6,2021,11,clay
1640,North,0.88,4.7,2022,3,clay
1641,East,0.75,2.4,2022,7,sandy_loam
1642,East,0.57,4.1,2022,8,clay
1643,East,0.84,3.1,2023,11,peat
1644,West,0.85,4.3,2020,12,clay
1645,West,0.67,2.2,2020,9,peat
1646,North,0.5,2.9,2023,12,peat
1647,West,0.85,4.7,2020,4,sandy_loam
1648,South,0.83,4.7,2022,9,sandy_loam
1649,North,0.58,2.4,2022,6,peat
1650,East,0.68,4.9,2022,8,sandy_loam
1651,West,0.52,2.4,2021,4,clay
1652,West,0.71,4.1,2022,7,sandy_loam
1653,North,0.53,4.5,2021,10,sandy_loam
1654,North,0.82,4.2,2021,12,sandy_loam
1655,North,0.76,4.3,2022,8,sandy_loam
1656,North,0.82,3.5,2023,1,sandy_loam
1657,North,0.66,3.4,2020,2,clay
1658,West,0.76,3.7,2023,4,clay
1659,South,0.71,4.6,2021,1,sandy_loam
1660,North,0.53,3.0,2023,2,clay
1661,East,0.51,2.5,2023,9,sandy_loam
1662,West,0.73,2.9,2020,3,sandy_loam
1663,West,0.56,3.4,2022,5,sandy_loam
1664,West,0.61,2.1,2020,2,sandy_loam
1665,South,0.66,2.5,2020,3,peat
1666,South,0.78,3.8,2021,8,clay
1667,South,0.72,3.5,2023,8,peat
1668,South,0.52,4.8,2020,1,clay
1669,South,0.59,4.2,2020,5,clay
1670,West,0.81,4.7,2023,9,clay
1671,West,0.5,2.7,2020,8,sandy_loam
1672,West,0.86,2.8,2022,3,sandy_loam
1673,South,0.79,2.1,2022,12,peat
1674,East,0.61,4.2,2022,7,sandy_loam
1675,North,0.79,3.3,2020,2,clay
1676,North,0.56,4.5,2023,1,peat
1677,East,0.52,3.7,2020,10,clay
1678,East,0.79,4.0,2023,3,sandy_loam
1679,North,0.65,4.2,2023,6,peat
1680,West,0.86,4.8,2023,12,sandy_loam
1681,East,0.86,3.6,2021,7,sandy_loam
1682,North,0.74,3.6,2022,9,sandy_loam
1683,South,0.53,3.4,2020,5,clay
1684,South,0.67,4.0,2023,7,sandy_loam
1685,South,0.7,2.9,2021,8,sandy_loam
1686,West,0.79,4.1,2023,7,clay
1687,East,0.79,2.0,2023,11,clay
1688,North,0.88,3.1,2020,2,peat
1689,South,0.68,3.3,2021,5,sandy_loam
1690,South,0.87,4.3,2022,6,clay
1691,South,0.89,4.4,2021,8,sandy_loam
1692,West,0.5,4.5,2022,8,sandy_loam
1693,North,0.73,2.8,2021,8,peat
1694,North,0.63,4.5,2022,9,peat
1695,North,0.8,3.4,2023,1,peat
1696,North,0.75,3.1,2022,1,sandy_loam
1697,West,0.65,2.8,2021,5,clay
1698,East,0.83,4.0,2023,11,sandy_loam
1699,South,0.89,4.5,2021,5,clay
1700,East,0.74,3.8,2021,8,peat
1701,West,0.66,2.1,2023,12,sandy_loam
1702,West,0.7,3.4,2021,10,sandy_loam
1703,West,0.64,2.5,2022,1,sandy_loam
1704,North,0.73,3.9,2021,11,clay
1705,West,0.61,2.2,2022,10,clay
1706,West,0.64,4.3,2022,5,sandy_loam
1707,East,0.72,4.8,2020,10,sandy_loam
1708,East,0.72,3.0,2020,2,clay
1709,South,0.76,4.3,2020,11,sandy_loam
1710,West,0.75,3.9,2020,9,sandy_loam
1711,North,0.6,2.1,2021,2,sandy_loam
1712,North,0.76,2.7,2021,12,sandy_loam
1713,North,0.76,3.6,2020,1,peat
1714,North,0.89,4.4,2021,6,sandy_loam
1715,East,0.52,3.9,2021,3,clay
1716,West,0.57,2.8,2021,11,sandy_loam
1717,North,0.87,4.7,2021,2,sandy_loam
1718,East,0.61,4.1,2023,10,clay
1719,North,0.77,3.4,2020,9,peat
1720,North,0.81,4.5,2023,7,peat
1721,South,0.69,4.2,2020,4,clay
1722,North,0.56,3.4,2022,6,sandy_loam
1723,North,0.89,3.0,2022,12,peat
1724,East,0.59,2.0,2020,8,peat
1725,South,0.73,2.2,2020,4,sandy_loam
1726,North,0.63,3.8,2021,1,sandy_loam
1727,North,0.72,3.8,2022,9,peat
1728,South,0.89,2.5,2023,2,peat
1729,North,0.7,4.8,2021,8,sandy_loam
1730,West,0.64,2.3,2022,12,sandy_loam
1731,East,0.77,4.2,2020,9,clay
1732,West,0.64,3.2,2022,2,sandy_loam
1733,West,0.8,2.3,2021,9,clay
1734,South,0.6,3.7,2020,3,sandy_loam
1735,East,0.7,2.8,2022,7,sandy_loam
1736,West,0.61,3.0,2020,1,peat
1737,West,0.62,3.2,2023,3,clay
1738,West,0.75,2.1,2023,4,clay
1739,North,0.75,2.2,2021,7,peat
1740,East,0.51,3.9,2022,4,peat
1741,South,0.75,3.1,2020,6,clay
1742,West,0.89,2.8,2020,3,clay
1743,South,0.82,4.4,2021,5,peat
1744,South,0.64,4.2,2022,9,clay
1745,South,0.86,2.0,2022,9,sandy_loam
1746,East,0.68,3.2,2021,10,sandy_loam
1747,West,0.84,4.1,2022,8,peat
1748,North,0.72,2.1,2021,10,sandy_loam
1749,East,0.86,4.1,2023,6,peat
1750,West,0.83,4.2,2020,12,sandy_loam
1751,East,0.67,2.2,2023,1,sandy_loam
1752,East,0.86,2.3,2023,5,peat
1753,South,0.89,2.3,2022,10,clay
1754,East,0.75,4.4,2023,5,peat
1755,East,0.51,3.1,2023,11,sandy_loam
1756,North,0.58,3.2,2021,4,clay
1757,West,0.9,4.2,2020,1,peat
1758,North,0.53,3.5,2021,9,clay
1759,West,0.67,4.9,2023,3,sandy_loam
1760,North,0.58,4.7,2021,8,clay
1761,South,0.7,4.4,2023,6,clay
1762,West,0.7,4.3,2021,1,clay
1763,West,0.61,2.4,2021,12,sandy_loam
1764,West,0.73,3.1,2022,8,sandy_loam
1765,East,0.88,2.9,2020,11,peat
1766,South,0.73,2.9,2021,9,sandy_loam
1767,North,0.62,4.1,2022,5,clay
1768,West,0.67,3.4,2022,10,sandy_loam
1769,South,0.86,3.1,2021,1,clay
1770,East,0.61,2.1,2021,5,sandy_loam
1771,North,0.52,4.4,2023,2,peat
1772,South,0.5,3.7,2022,5,peat
1773,East,0.77,4.9,2023,5,clay
1774,South,0.84,3.9,2023,3,sandy_loam
1775,East,0.57,3.7,2023,2,sandy_loam
1776,West,0.74,3.0,2021,11,clay
1777,East,0.64,2.6,2021,7,clay
1778,South,0.83,2.9,2020,10,peat
1779,West,0.78,3.3,2022,11,peat
1780,West,0.84,3.7,2022,8,peat
1781,North,0.82,2.4,2022,8,clay
1782,East,0.59,4.3,2023,6,sandy_loam
1783,West,0.9,3.5,2021,7,sandy_loam
1784,North,0.78,4.9,2022,1,sandy_loam
1785,West,0.83,2.2,2023,2,peat
1786,West,0.78,3.8,2022,10,peat
1787,South,0.83,4.9,2023,7,peat
1788,East,0.65,2.5,2023,5,sandy_loam
1789,North,0.83,4.6,2022,11,sandy_loam
1790,North,0.58,2.0,2020,2,sandy_loam
1791,South,0.79,4.7,2020,7,clay
1792,West,0.72,2.4,2023,10,peat
1793,South,0.82,4.6,2023,9,peat
1794,West,0.74,4.9,2021,9,clay
1795,North,0.67,4.3,2023,3,peat
1796,South,0.53,2.3,2023,1,clay
1797,North,0.7,4.4,2021,12,clay
1798,North,0.86,3.5,2021,8,clay
1799,North,0.58,3.4,2020,1,sandy_loam
1800,East,0.8,2.2,2020,10,peat
1801,West,0.6,4.2,2020,4,clay
1802,South,0.76,3.2,2020,4,peat
1803,West,0.64,3.1,2021,7,sandy_loam
1804,South,0.53,5.0,2022,8,peat
1805,West,0.64,2.4,2021,8,clay
1806,North,0.9,4.7,2020,6,clay
1807,North,0.78,4.8,2021,2,clay
1808,South,0.53,2.7,2022,10,clay
1809,East,0.77,4.9,2022,5,sandy_loam
1810,North,0.68,4.1,2021,7,clay
1811,South,0.85,2.9,2021,6,clay
1812,North,0.55,2.3,2023,8,sandy_loam
1813,East,0.82,3.1,2023,2,sandy_loam
1814,North,0.79,3.2,2020,11,peat
1815,East,0.58,2.8,2022,1,clay
1816,West,0.73,3.0,2020,3,sandy_loam
1817,North,0.59,4.3,2022,12,clay
1818,North,0.82,2.6,2023,4,sandy_loam
1819,North,0.55,2.9,2021,6,clay
1820,North,0.68,2.9,2023,12,clay
1821,North,0.71,3.6,2022,3,peat
1822,West,0.73,4.2,2023,2,sandy_loam
1823,South,0.87,3.8,2020,6,peat
1824,North,0.64,3.1,2020,1,clay
1825,West,0.69,2.5,2022,12,peat
1826,South,0.62,4.5,2022,5,sandy_loam
1827,South,0.89,2.5,2021,9,peat
1828,West,0.64,2.1,2020,8,clay
1829,North,0.62,3.6,2021,4,peat
1830,North,0.76,3.2,2021,12,sandy_loam
1831,West,0.89,4.2,2021,5,peat
1832,North,0.85,3.0,2022,7,peat
1833,South,0.9,2.7,2022,12,sandy_loam
1834,West,0.76,2.7,2022,12,sandy_loam
1835,West,0.81,3.8,2020,12,sandy_loam
1836,East,0.59,2.8,2022,5,peat
1837,West,0.88,2.1,2021,7,clay
1838,East,0.81,2.4,2021,12,peat
1839,East,0.85,2.0,2023,4,peat
1840,West,0.54,4.7,2020,7,clay
1841,West,0.77,4.9,2021,12,sandy_loam
1842,South,0.72,4.9,2022,6,peat
1843,North,0.51,2.4,2023,5,clay
1844,South,0.8,2.8,2020,3,clay
1845,East,0.72,3.7,2020,5,peat
1846,East,0.51,3.5,2023,5,clay
1847,West,0.83,2.5,2021,1,sandy_loam
1848,West,0.6,4.0,2021,9,peat
1849,South,0.59,4.1,2022,4,clay
1850,West,0.56,4.4,2022,7,clay
1851,West,0.77,2.7,2021,9,sandy_loam
1852,South,0.53,4.0,2023,6,peat
1853,West,0.83,2.4,2020,5,peat
1854,South,0.53,4.8,2020,7,peat
1855,West,0.51,4.3,2023,12,clay
1856,South,0.84,3.2,2020,2,clay
1857,North,0.57,2.1,2023,7,clay
1858,South,0.54,3.2,2022,6,clay
1859,South,0.71,4.5,2020,8,clay
1860,West,0.68,2.1,2022,12,sandy_loam
1861,West,0.89,2.3,2023,9,peat
1862,North,0.57,3.8,2023,8,clay
1863,South,0.58,4.7,2022,2,clay
1864,North,0.84,2.7,2023,3,peat
1865,West,0.76,3.2,2021,3,clay
1866,West,0.63,2.2,2023,9,sandy_loam
1867,East,0.56,3.0,2023,1,sandy_loam
1868,East,0.78,4.5,2020,3,clay
1869,South,0.76,3.1,2020,5,sandy_loam
1870,South,0.86,3.7,2022,11,clay
1871,South,0.55,2.9,2020,4,peat
1872,North,0.59,4.6,2022,11,peat
1873,North,0.54,3.7,2023,9,clay
1874,North,0.63,4.2,2023,8,clay
1875,North,0.62,2.4,2021,12,sandy_loam
1876,North,0.58,3.2,2022,10,peat
1877,North,0.71,3.2,2021,1,sandy_loam
1878,North,0.63,5.0,2023,6,clay
1879,North,0.61,3.7,2021,7,clay
1880,South,0.7,2.9,2023,5,clay
1881,North,0.55,4.9,2023,10,clay
1882,North,0.79,4.4,2022,8,sandy_loam
1883,South,0.74,4.0,2020,11,sandy_loam
1884,South,0.74,4.6,2020,9,sandy_loam
1885,West,0.74,2.7,2022,7,peat
1886,South,0.58,2.1,2020,7,sandy_loam
1887,South,0.62,4.0,2022,7,peat
1888,East,0.51,3.7,2020,1,clay
1889,West,0.59,4.9,2020,3,sandy_loam
1890,North,0.53,4.5,2022,2,peat
1891,South,0.87,4.0,2022,8,sandy_loam
1892,South,0.64,4.9,2020,10,peat
1893,North,0.51,3.4,2020,8,clay
1894,West,0.55,4.1,2023,4,peat
1895,East,0.77,3.1,2022,6,sandy_loam
1896,West,0.89,4.0,2020,7,sandy_loam
1897,West,0.62,4.7,2022,1,clay
1898,West,0.75,3.1,2022,9,sandy_loam
1899,South,0.81,3.6,2022,9,sandy_loam
1900,East,0.84,2.8,2022,3,sandy_loam
1901,West,0.52,2.6,2022,12,clay
1902,North,0.56,3.6,2021,3,sandy_loam
1903,South,0.9,3.9,2021,12,clay
1904,South,0.89,3.2,2021,1,sandy_loam
1905,West,0.54,2.6,2020,2,peat
1906,South,0.77,4.7,2020,12,peat
1907,West,0.72,3.1,2023,3,sandy_loam
1908,North,0.54,3.0,2020,8,sandy_loam
1909,North,0.54,4.7,2021,4,sandy_loam
1910,North,0.87,2.9,2021,7,clay
1911,West,0.89,3.0,2021,1,sandy_loam
1912,East,0.81,3.7,2022,4,peat
1913,West,0.53,4.0,2021,12,peat
1914,North,0.87,3.0,2020,3,sandy_loam
1915,East,0.57,4.1,2023,12,clay
1916,West,0.57,2.5,2023,8,clay
1917,West,0.89,3.5,2020,10,sandy_loam
1918,North,0.72,2.0,2022,9,clay
1919,North,0.73,5.0,2020,9,peat
1920,South,0.56,3.2,2021,9,peat
1921,East,0.65,4.3,2023,6,clay
1922,West,0.86,3.0,2022,10,peat
1923,East,0.74,2.9,2022,9,peat
1924,West,0.86,4.8,2020,2,clay
1925,South,0.82,4.3,2021,7,clay
1926,South,0.58,2.3,2022,11,sandy_loam
1927,East,0.84,2.5,2022,7,clay
1928,North,0.88,2.2,2022,11,clay
1929,East,0.67,3.7,2023,7,peat
1930,North,0.72,3.0,2022,10,peat
1931,West,0.86,2.9,2023,9,clay
1932,West,0.73,3.1,2023,7,clay
1933,East,0.53,2.3,2021,10,sandy_loam
1934,North,0.56,4.2,2023,7,sandy_loam
1935,North,0.57,4.7,2021,1,peat
1936,West,0.81,4.0,2020,2,peat
1937,North,0.7,4.7,2023,7,clay
1938,South,0.68,2.5,2023,10,peat
1939,East,0.57,3.3,2023,10,peat
1940,West,0.85,3.2,2023,6,clay
1941,South,0.82,2.0,2023,11,clay
1942,West,0.66,3.6,2022,9,sandy_loam
1943,West,0.86,2.6,2020,3,clay
1944,East,0.89,3.2,2023,9,sandy_loam
1945,East,0.8,4.2,2022,11,sandy_loam
1946,North,0.63,3.0,2023,12,peat
1947,South,0.82,3.8,2020,7,peat
1948,South,0.7,4.8,2020,7,clay
1949,South,0.88,2.8,2020,10,sandy_loam
1950,South,0.57,2.7,2020,9,sandy_loam
1951,East,0.89,3.0,2023,6,clay
1952,East,0.81,2.3,2023,1,sandy_loam
1953,West,0.77,2.7,2020,8,sandy_loam
1954,West,0.61,4.0,2022,3,sandy_loam
1955,South,0.64,4.9,2022,9,clay
1956,North,0.69,4.7,2020,2,clay
1957,North,0.51,3.6,2020,12,sandy_loam
1958,West,0.53,2.5,2023,10,sandy_loam
1959,North,0.78,3.4,2022,11,clay
1960,North,0.72,2.5,2020,7,sandy_loam
1961,East,0.8,2.5,2022,6,sandy_loam
1962,East,0.65,4.5,2022,9,sandy_loam
1963,North,0.76,4.5,2022,8,peat
1964,North,0.77,4.7,2020,5,clay
1965,East,0.86,4.4,2023,8,clay
1966,North,0.82,4.8,2020,6,sandy_loam
1967,West,0.6,3.7,2022,3,peat
1968,South,0.76,2.3,2022,10,peat
1969,North,0.79,2.6,2020,8,sandy_loam
1970,South,0.87,3.5,2022,1,sandy_loam
1971,East,0.83,4.7,2021,10,sandy_loam
1972,North,0.73,2.1,2021,7,sandy_loam
1973,East,0.64,2.2,2022,10,sandy_loam
1974,North,0.69,3.8,2023,10,peat
1975,West,0.56,2.2,2021,10,clay
1976,West,0.83,3.9,2022,9,clay
1977,South,0.69,4.0,2022,9,peat
1978,North,0.69,4.3,2020,3,clay
1979,South,0.82,3.0,2023,12,sandy_loam
1980,East,0.55,3.0,2021,9,peat
1981,North,0.9,2.9,2022,6,peat
1982,North,0.64,2.9,2021,4,peat
1983,North,0.88,2.1,2021,8,clay
1984,North,0.84,2.6,2022,2,clay
1985,East,0.57,4.5,2023,8,clay
1986,South,0.66,2.0,2022,10,sandy_loam
1987,East,0.84,3.4,2021,4,clay
1988,West,0.79,4.0,2020,5,clay
1989,West,0.88,2.5,2020,11,sandy_loam
1990,West,0.74,2.0,2022,10,sandy_loam
1991,West,0.51,3.7,2020,2,peat
1992,West,0.84,3.5,2023,11,clay
1993,South,0.66,3.6,2022,4,sandy_loam
1994,South,0.85,4.0,2023,1,peat
1995,North,0.57,3.2,2020,1,peat
1996,East,0.68,3.8,2022,3,peat
1997,West,0.65,2.1,2020,12,peat
1998,East,0.63,2.7,2021,10,clay
1999,North,0.87,4.3,2021,2,clay
2000,West,0.61,3.5,2023,1,sandy_loam
2001,East,0.62,4.4,2022,3,clay
2002,West,0.67,2.4,2020,12,peat
2003,West,0.79,4.3,2020,3,clay
2004,West,0.5,2.2,2020,5,peat
2005,South,0.53,3.0,2020,7,sandy_loam
2006,West,0.73,2.3,2021,6,clay
2007,South,0.89,4.7,2021,6,peat
2008,East,0.68,3.3,2023,5,clay
2009,South,0.83,3.7,2021,11,peat
2010,West,0.52,2.7,2020,4,peat
2011,South,0.61,2.8,2021,2,peat
2012,South,0.84,3.8,2020,10,clay
2013,South,0.72,4.1,2022,2,sandy_loam
2014,West,0.55,4.4,2023,3,sandy_loam
2015,North,0.66,4.0,2022,9,clay
2016,North,0.75,2.5,2020,5,sandy_loam
2017,East,0.63,4.4,2021,6,sandy_loam
2018,West,0.85,5.0,2021,7,peat
2019,South,0.72,2.5,2023,6,peat
2020,East,0.72,3.0,2021,7,sandy_loam
2021,North,0.74,4.3,2022,7,sandy_loam
2022,North,0.7,2.9,2022,10,sandy_loam
2023,West,0.72,4.8,2020,8,peat
2024,South,0.52,3.1,2022,3,peat
2025,South,0.89,3.4,2021,12,peat
2026,West,0.82,2.5,2023,11,clay
2027,East,0.54,4.0,2020,2,clay
2028,North,0.65,2.8,2021,8,sandy_loam
2029,North,0.53,4.0,2020,8,peat
2030,South,0.71,2.6,2021,1,peat
2031,North,0.8,3.8,2021,5,peat
2032,North,0.67,4.0,2021,11,clay
2033,North,0.8,4.5,2020,11,sandy_loam
2034,South,0.51,2.9,2023,8,sandy_loam
2035,North,0.78,2.8,2020,6,clay
2036,West,0.86,2.5,2021,1,clay
2037,North,0.77,3.5,2021,4,clay
2038,North,0.71,2.8,2023,1,peat
2039,North,0.64,4.5,2020,5,clay
2040,South,0.62,4.1,2023,7,sandy_loam
2041,South,0.82,4.0,2022,3,clay
2042,South,0.73,3.5,2023,12,sandy_loam
2043,West,0.56,4.7,2021,2,peat
2044,South,0.84,2.8,2022,2,peat
2045,East,0.71,4.4,2021,8,clay
2046,West,0.87,2.5,2022,6,clay
2047,East,0.87,3.8,2022,6,clay
2048,North,0.66,3.1,2020,12,clay
2049,West,0.68,4.9,2023,6,clay
2050,North,0.78,4.8,2022,5,clay
2051,East,0.53,3.4,2020,5,sandy_loam
2052,North,0.89,2.7,2020,6,peat
2053,West,0.86,3.3,2021,6,clay
2054,South,0.84,2.2,2023,9,clay
2055,South,0.58,2.9,2022,9,clay
2056,North,0.62,2.8,2022,7,clay
2057,West,0.53,4.9,2023,4,peat
2058,South,0.64,3.4,2021,9,sandy_loam
2059,South,0.6,2.7,2020,8,clay
2060,East,0.53,2.7,2022,9,sandy_loam
2061,East,0.84,3.7,2020,6,clay
2062,South,0.56,3.6,2020,1,peat
2063,North,0.83,2.1,2022,10,clay
2064,East,0.6,4.9,2023,2,sandy_loam
2065,West,0.79,2.0,2021,2,peat
2066,North,0.51,4.1,2020,2,peat
2067,South,0.82,3.4,2022,9,clay
2068,South,0.8,2.1,2020,4,sandy_loam
2069,West,0.73,3.7,2021,3,peat
2070,South,0.83,2.1,2022,3,sandy_loam
2071,East,0.72,3.2,2020,10,clay
2072,South,0.68,4.5,2021,8,peat
2073,East,0.72,4.5,2020,4,sandy_loam
2074,West,0.8,4.5,2022,12,sandy_loam
2075,South,0.87,4.2,2023,3,sandy_loam
2076,South,0.73,2.5,2023,12,peat
2077,West,0.85,2.0,2023,11,clay
2078,South,0.61,3.9,2021,5,clay
2079,East,0.7,3.6,2020,8,sandy_loam
2080,North,0.64,4.6,2020,7,sandy_loam
2081,North,0.77,2.3,2020,10,clay
2082,North,0.7,3.2,2023,7,sandy_loam
2083,West,0.51,3.4,2022,3,peat
2084,South,0.51,2.6,2021,3,sandy_loam
2085,North,0.68,4.3,2021,11,peat
2086,South,0.68,3.2,2021,3,sandy_loam
2087,North,0.85,4.4,2023,7,clay
2088,East,0.74,3.4,2021,5,clay
2089,West,0.88,3.2,2022,2,peat
2090,South,0.82,3.4,2021,6,peat
2091,West,0.8,4.4,2021,8,clay
2092,East,0.57,3.8,2020,12,clay
2093,East,0.67,4.8,2020,3,clay
2094,West,0.61,2.9,2020,11,peat
2095,East,0.55,4.8,2023,1,clay
2096,West,0.7,3.3,2023,8,sandy_loam
2097,North,0.57,4.4,2023,12,sandy_loam
2098,West,0.51,2.3,2023,10,sandy_loam
2099,West,0.76,2.6,2020,6,peat
2100,East,0.59,4.0,2020,2,clay
2101,South,0.76,4.5,2020,11,peat
2102,North,0.89,2.7,2023,11,sandy_loam
2103,North,0.81,3.1,2022,2,peat
2104,West,0.75,3.1,2022,1,sandy_loam
2105,South,0.62,2.3,2022,6,sandy_loam
2106,East,0.56,2.3,2023,1,clay
2107,South,0.63,2.7,2020,11,peat
2108,West,0.61,3.8,2021,11,clay
2109,West,0.51,3.1,2020,4,sandy_loam
2110,West,0.76,3.0,2022,5,sandy_loam
2111,East,0.5,2.8,2023,3,peat
2112,East,0.78,3.7,2021,12,peat
2113,East,0.57,3.8,2021,4,peat
2114,South,0.63,2.4,2022,10,clay
2115,North,0.9,2.4,2020,11,clay
2116,South,0.54,2.3,2021,3,peat
2117,North,0.75,5.0,2020,1,sandy_loam
2118,North,0.74,3.0,2022,5,clay
2119,South,0.77,2.2,2022,2,sandy_loam
2120,West,0.74,3.3,2020,11,sandy_loam
2121,East,0.52,3.0,2023,1,peat
2122,West,0.72,4.9,2022,11,peat
2123,South,0.7,2.8,2023,11,clay
2124,East,0.57,4.8,2022,1,peat
2125,North,0.68,2.9,2020,6,peat
2126,South,0.72,3.5,2021,2,clay
2127,East,0.71,4.2,2021,2,sandy_loam
2128,East,0.79,2.4,2023,3,clay
2129,South,0.61,2.2,2021,9,peat
2130,West,0.72,2.0,2020,3,clay
2131,East,0.56,3.3,2022,9,clay
2132,South,0.61,3.6,2022,1,peat
2133,North,0.75,3.6,2023,4,sandy_loam
2134,South,0.8,2.1,2021,3,sandy_loam
2135,South,0.52,2.9,2021,4,sandy_loam
2136,North,0.79,4.7,2023,10,sandy_loam
2137,North,0.55,3.8,2021,5,sandy_loam
2138,South,0.82,3.8,2021,10,clay
2139,West,0.56,3.2,2020,7,peat
2140,North,0.62,4.9,2020,3,sandy_loam
2141,West,0.79,4.2,2022,5,clay
2142,South,0.59,2.7,2022,4,sandy_loam
2143,West,0.53,4.8,2023,2,clay
2144,South,0.5,2.9,2021,9,clay
2145,West,0.76,4.1,2020,10,clay
2146,South,0.53,4.8,2023,4,sandy_loam
2147,North,0.64,3.9,2023,11,sandy_loam
2148,East,0.61,2.9,2023,7,sandy_loam
2149,North,0.78,4.1,2021,6,peat
2150,West,0.76,2.8,2023,8,sandy_loam
2151,East,0.54,4.8,2023,6,sandy_loam
2152,East,0.56,2.3,2023,10,clay
2153,West,0.61,3.2,2023,11,peat
2154,South,0.76,3.0,2020,11,sandy_loam
2155,North,0.63,4.6,2023,10,peat
2156,West,0.87,4.4,2022,6,peat
2157,East,0.63,2.4,2021,4,clay
2158,West,0.61,4.5,2021,5,clay
2159,North,0.85,3.8,2021,10,sandy_loam
2160,South,0.86,4.2,2021,11,peat
2161,South,0.57,3.1,2023,5,clay
2162,North,0.75,3.6,2022,7,peat
2163,West,0.87,4.4,2023,3,sandy_loam
2164,North,0.67,3.4,2020,6,sandy_loam
2165,East,0.55,2.0,2022,9,peat
